Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
XB,CM25,6.76,11.811,1,150,1,1
XB,CM26,7.265,13.548,1,158,1,1
XB,CM27,7.359,12.667,1,147,1,1
XB,CM28,8.469,13.237,1,150,1,1
XB,CM29,9.347,13.385,1,155,1,1
XB,CM30,9.757,13.95,1,150,1,1
XB,CM31,10.327,15.262,1,150,1,1
XB,CM32,10.619,14.372,1,155,1,1
XB,PM01,35.7016,-5.6543,1,434,1,1
XB,PM02,35.6101,-5.3471,1,411,1,1
XB,PM03,35.5104,-5.7713,1,434,1,1
XB,PM04,35.4026,-5.1525,1,443,1,1
XB,PM05,35.2134,-5.3368,1,443,1,1
XB,PM06,35.3086,-5.639,1,433,1,1
XB,PM07,35.2275,-4.9863,1,444,1,1
XB,PM08,35.1448,-4.7082,1,359,1,1
XB,PM09,35.0273,-5.1145,1,330,1,1
XB,PM10,34.7379,-5.1368,1,426,1,1
XB,PM11,34.9308,-4.3119,1,448,1,1
XB,PM12,34.8505,-4.6084,1,432,1,1
XB,PM13,34.6723,-4.9354,1,432,1,1
XB,PM14,34.5522,-5.1267,1,432,1,1
XB,PM15,34.4694,-4.6997,1,433,1,1
XB,PM16,35.1304,-3.6948,1,412,1,1
XB,PM17,34.3914,-5.2954,1,419,1,1
XB,PM18,34.15,-4.8195,1,409,1,1
XB,PM19,34.1427,-5.1308,1,430,1,1
XB,PM20,33.9064,-5.0329,1,411,1,1
XB,PM21,33.7205,-5.3197,1,497,1,1
XB,PM22,33.2947,-5.1071,1,302,1,1
XB,PM22B,33.3079,-5.1024,1,420,1,1
XB,PM23,33.128,-5.03,1,496,1,1
XB,PM24,32.9953,-4.8979,1,496,1,1
XB,PM25,32.8757,-4.888,1,371,1,1
XB,PM26,32.5245,-4.5659,1,496,1,1
XB,PM27,32.3499,-4.6537,1,497,1,1
XB,PM28,32.2317,-4.6171,1,495,1,1
XB,PM29,32.0844,-4.3913,1,497,1,1
XB,PM30,31.8634,-4.2718,1,373,1,1
XB,PM30A,31.823,-4.2715,1,344,1,1
XB,PM31,32.7063,-4.7195,1,188,1,1
XB,PM31A,32.7186,-4.739,1,459,1,1
XB,PM32,31.568,-4.1914,1,497,1,1
XB,PM33,31.4318,-4.2427,1,373,1,1
XB,PM33A,31.414,-4.2897,1,343,1,1
XB,PM34,31.2912,-4.1068,1,498,1,1
XB,PM35,31.0463,-3.9958,1,499,1,1
XB,PM36,34.8894,-3.7359,1,402,1,1
XB,PM37,34.9507,-3.1506,1,402,1,1
XB,PM38,34.8385,-2.8737,1,399,1,1
XB,PM39,34.889,-2.6104,1,403,1,1
XB,PM40,34.9075,-2.2104,1,405,1,1
XB,PS01,36.08,-5.6236,0,343,1,1
XB,PS02,36.2564,-5.3708,0,297,1,1
XB,PS03,36.3932,-5.415,0,346,1,1
XB,PS04,36.6051,-5.3228,0,346,1,1
XB,PS05,36.6457,-5.0938,0,314,1,1
XB,PS06,36.7314,-5.5144,0,297,1,1
XB,PS07,36.6706,-4.7988,0,278,1,1
XB,PS08,36.741,-4.643,0,297,1,1
XB,PS09,36.8235,-5.2325,0,297,1,1
XB,PS10,36.8025,-4.9044,0,297,1,1
XB,PS11,36.8728,-4.6805,0,295,1,1
XB,PS12,37.0506,-5.1867,0,297,1,1
XB,PS13,37.0573,-4.7495,0,297,1,1
XB,PS14,37.1475,-5.5178,0,296,1,1
XB,PS15,37.1409,-4.5028,0,297,1,1
XB,PS16,37.2131,-5.0491,0,296,1,1
XB,PS17,37.2934,-5.3916,0,297,1,1
XB,PS18,37.2498,-4.7376,0,297,1,1
XB,PS19,37.3716,-4.9943,0,296,1,1
XB,PS21,37.3446,-4.4559,0,296,1,1
XB,PS22,37.3658,-4.7038,0,192,1,1
XB,PS23,37.5602,-5.1014,0,296,1,1
XB,PS24,37.6071,-5.4031,0,296,1,1
XB,PS26,37.722,-4.9634,0,296,1,1
XB,PS30,37.836,-4.9038,0,285,1,1
XB,PS33,38.1574,-4.9056,0,294,1,1
XB,PS34,38.4335,-4.7503,0,228,1,1
XB,PS35,38.7136,-4.8819,0,278,1,1
XB,PS37,38.9997,-4.9555,0,225,1,1
XB,PS39,39.3947,-5.0049,0,291,1,1
XB,PS40,39.4862,-4.8449,0,292,1,1
XB,PS41,36.667,-5.9442,0,298,1,1
XB,PS42,36.5282,-5.0434,0,297,1,1
XB,PS44,36.3173,-5.9889,0,313,1,1
XB,PS45,36.3055,-5.7158,0,289,1,1
XB,PS46,36.8236,-4.3411,0,297,1,1
XB,PS47,36.8698,-4.0794,0,297,1,1
XB,PS48,36.9012,-3.7271,0,278,1,1
